Batch Counter	ReportTime	Service	Node Id	RefreshTime	Request Count	RequestPendingCount	RequestPendingDuration	Request Timeout Count	Task Count	TaskBacklog	Task Timeout Count	Task Hung Count	Thread Abandoned Count
8	星期六 二月 01 13:44:50 CST 2014	DistributedCache	1	星期六 二月 01 13:44:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
8	星期六 二月 01 13:44:50 CST 2014	Management	1	星期六 二月 01 13:44:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
9	星期六 二月 01 13:45:50 CST 2014	DistributedCache	1	星期六 二月 01 13:45:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
9	星期六 二月 01 13:45:50 CST 2014	Management	1	星期六 二月 01 13:45:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
10	星期六 二月 01 13:46:50 CST 2014	DistributedCache	1	星期六 二月 01 13:46:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
10	星期六 二月 01 13:46:50 CST 2014	Management	1	星期六 二月 01 13:46:50 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
11	星期六 二月 01 13:47:51 CST 2014	DistributedCache	1	星期六 二月 01 13:47:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
11	星期六 二月 01 13:47:51 CST 2014	Management	1	星期六 二月 01 13:47:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
12	星期六 二月 01 13:48:51 CST 2014	DistributedCache	1	星期六 二月 01 13:48:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
12	星期六 二月 01 13:48:51 CST 2014	Management	1	星期六 二月 01 13:48:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
13	星期六 二月 01 13:49:51 CST 2014	DistributedCache	1	星期六 二月 01 13:49:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
13	星期六 二月 01 13:49:51 CST 2014	Management	1	星期六 二月 01 13:49:51 CST 2014	1.0	0	0	0.0	0.0	0	0.0	0	0.0
14	星期六 二月 01 13:50:51 CST 2014	DistributedCache	1	星期六 二月 01 13:50:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
14	星期六 二月 01 13:50:51 CST 2014	Management	1	星期六 二月 01 13:50:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
15	星期六 二月 01 13:51:51 CST 2014	DistributedCache	1	星期六 二月 01 13:51:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
15	星期六 二月 01 13:51:51 CST 2014	Management	1	星期六 二月 01 13:51:51 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
