Batch Counter	ReportTime	Service	Node Id	RefreshTime	Request Count	RequestPendingCount	RequestPendingDuration	Request Timeout Count	Task Count	TaskBacklog	Task Timeout Count	Task Hung Count	Thread Abandoned Count
1	星期六 二月 01 13:37:56 CST 2014	DistributedCache	1	星期六 二月 01 13:37:56 CST 2014	521	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:37:56 CST 2014	DistributedCache	2	星期六 二月 01 13:37:56 CST 2014	129	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:37:56 CST 2014	DistributedCache	3	星期六 二月 01 13:37:56 CST 2014	8	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:37:56 CST 2014	Management	1	星期六 二月 01 13:37:56 CST 2014	4	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:37:56 CST 2014	Management	2	星期六 二月 01 13:37:56 CST 2014	55	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:37:56 CST 2014	Management	3	星期六 二月 01 13:37:56 CST 2014	2	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:38:00 CST 2014	DistributedCache	3	星期六 二月 01 13:38:00 CST 2014	8	0	0	0	0	0	0	0	0
1	星期六 二月 01 13:38:00 CST 2014	Management	3	星期六 二月 01 13:38:00 CST 2014	2	0	0	0	0	0	0	0	0
2	星期六 二月 01 13:38:57 CST 2014	DistributedCache	1	星期六 二月 01 13:38:56 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	星期六 二月 01 13:38:57 CST 2014	DistributedCache	2	星期六 二月 01 13:38:57 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	星期六 二月 01 13:38:57 CST 2014	DistributedCache	3	星期六 二月 01 13:38:56 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	星期六 二月 01 13:38:57 CST 2014	Management	1	星期六 二月 01 13:38:56 CST 2014	0.0	0	0	0.0	0.0	5	0.0	0	0.0
2	星期六 二月 01 13:38:57 CST 2014	Management	2	星期六 二月 01 13:38:57 CST 2014	66.0	0	0	0.0	0.0	0	0.0	0	0.0
2	星期六 二月 01 13:38:57 CST 2014	Management	3	星期六 二月 01 13:38:56 CST 2014	0.0	0	0	0.0	0.0	5	0.0	0	0.0
2	星期六 二月 01 13:39:01 CST 2014	DistributedCache	3	星期六 二月 01 13:39:01 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
2	星期六 二月 01 13:39:01 CST 2014	Management	3	星期六 二月 01 13:39:01 CST 2014	0.0	0	0	0.0	0.0	0	0.0	0	0.0
