Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
24	星期六 二月 01 14:00:52 CST 2014	3347302	1	PS MarkSweep	0	0.0	0	0.0			227016704	266521920	3791650816	56818784
24	星期六 二月 01 14:00:52 CST 2014	3347305	1	PS Scavenge	21	0.0	196	0.0	3269794	2.0	227016704	266521920	3791650816	57083680
25	星期六 二月 01 14:01:52 CST 2014	3407425	1	PS MarkSweep	0	0.0	0	0.0			232783872	266521920	3791650816	48165544
25	星期六 二月 01 14:01:52 CST 2014	3407427	1	PS Scavenge	22	1.0	198	2.0	3347253	2.0	232783872	266521920	3791650816	48165544
26	星期六 二月 01 14:02:52 CST 2014	3467535	1	PS MarkSweep	0	0.0	0	0.0			226492416	266521920	3791650816	39814416
26	星期六 二月 01 14:02:52 CST 2014	3467536	1	PS Scavenge	23	1.0	201	3.0	3410656	3.0	226492416	266521920	3791650816	40175768
27	星期六 二月 01 14:03:53 CST 2014	3527646	1	PS MarkSweep	0	0.0	0	0.0			230162432	266521920	3791650816	27260872
27	星期六 二月 01 14:03:53 CST 2014	3527648	1	PS Scavenge	24	1.0	203	2.0	3494125	3.0	230162432	266521920	3791650816	27583216
