Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
3	星期六 二月 01 13:39:57 CST 2014	595608	3	PS Scavenge	4	0.0	49	0.0	488337	10.0	255852544	266521920	3791650816	64622712
3	星期六 二月 01 13:40:01 CST 2014	599809	3	PS MarkSweep	0	0.0	0	0.0			255852544	266521920	3791650816	72274240
3	星期六 二月 01 13:40:01 CST 2014	599813	3	PS Scavenge	4	0.0	49	0.0	488337	10.0	255852544	266521920	3791650816	72688192
4	星期六 二月 01 13:40:57 CST 2014	2152024	1	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	67971872
4	星期六 二月 01 13:40:57 CST 2014	2108142	2	PS MarkSweep	0	0.0	0	0.0			240648192	266521920	3791650816	47768624
4	星期六 二月 01 13:40:57 CST 2014	655911	3	PS MarkSweep	0	0.0	0	0.0			251133952	266521920	3791650816	36060944
4	星期六 二月 01 13:40:57 CST 2014	2152024	1	PS Scavenge	8	0.0	85	0.0	2067395	4.0	247988224	266521920	3791650816	67971872
4	星期六 二月 01 13:40:57 CST 2014	2108150	2	PS Scavenge	9	1.0	111	5.0	2047853	5.0	240648192	266521920	3791650816	48580472
4	星期六 二月 01 13:40:57 CST 2014	655911	3	PS Scavenge	5	1.0	62	13.0	599837	14.0	251133952	266521920	3791650816	36060944
4	星期六 二月 01 13:41:01 CST 2014	660014	3	PS MarkSweep	0	0.0	0	0.0			251133952	266521920	3791650816	43027320
4	星期六 二月 01 13:41:01 CST 2014	660017	3	PS Scavenge	5	1.0	62	13.0	599837	14.0	251133952	266521920	3791650816	43305808
5	星期六 二月 01 13:41:57 CST 2014	2212317	1	PS MarkSweep	0	0.0	0	0.0			240123904	266521920	3791650816	42798072
5	星期六 二月 01 13:41:57 CST 2014	2168412	2	PS MarkSweep	0	0.0	0	0.0			246939648	266521920	3791650816	30184464
5	星期六 二月 01 13:41:57 CST 2014	716203	3	PS MarkSweep	0	0.0	0	0.0			251133952	266521920	3791650816	71602528
5	星期六 二月 01 13:41:57 CST 2014	2212317	1	PS Scavenge	9	1.0	88	3.0	2156649	3.0	240123904	266521920	3791650816	42798072
5	星期六 二月 01 13:41:57 CST 2014	2168420	2	PS Scavenge	10	1.0	116	5.0	2137797	5.0	246939648	266521920	3791650816	31065488
5	星期六 二月 01 13:41:57 CST 2014	716203	3	PS Scavenge	5	0.0	62	0.0	599837	14.0	251133952	266521920	3791650816	71602528
5	星期六 二月 01 13:42:01 CST 2014	720293	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	13867224
5	星期六 二月 01 13:42:01 CST 2014	720297	3	PS Scavenge	6	1.0	74	12.0	720122	11.0	249036800	266521920	3791650816	14169560
6	星期六 二月 01 13:42:58 CST 2014	2272569	1	PS MarkSweep	0	0.0	0	0.0			246415360	266521920	3791650816	17813032
6	星期六 二月 01 13:42:58 CST 2014	2228670	2	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	12765208
6	星期六 二月 01 13:42:58 CST 2014	776456	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	42577152
6	星期六 二月 01 13:42:58 CST 2014	2272569	1	PS Scavenge	10	1.0	105	17.0	2264647	18.0	246415360	266521920	3791650816	17813032
6	星期六 二月 01 13:42:58 CST 2014	2228677	2	PS Scavenge	11	1.0	122	6.0	2228581	5.0	237502464	266521920	3791650816	13667248
6	星期六 二月 01 13:42:58 CST 2014	776456	3	PS Scavenge	6	1.0	74	12.0	720122	11.0	249036800	266521920	3791650816	42577152
6	星期六 二月 01 13:43:02 CST 2014	780480	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	49574104
6	星期六 二月 01 13:43:02 CST 2014	780490	3	PS Scavenge	6	0.0	74	0.0	720122	11.0	249036800	266521920	3791650816	49876320
7	星期六 二月 01 13:43:58 CST 2014	2332818	1	PS MarkSweep	0	0.0	0	0.0			246415360	266521920	3791650816	53275176
7	星期六 二月 01 13:43:58 CST 2014	2288910	2	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	55454768
7	星期六 二月 01 13:43:58 CST 2014	836705	3	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	14694488
7	星期六 二月 01 13:43:58 CST 2014	2332818	1	PS Scavenge	10	0.0	105	0.0	2264647	18.0	246415360	266521920	3791650816	53275176
7	星期六 二月 01 13:43:58 CST 2014	2288915	2	PS Scavenge	11	0.0	122	0.0	2228581	5.0	237502464	266521920	3791650816	56356800
7	星期六 二月 01 13:43:58 CST 2014	836705	3	PS Scavenge	7	1.0	108	34.0	820417	35.0	242221056	266521920	3791650816	14694488
7	星期六 二月 01 13:44:02 CST 2014	840713	3	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	22027632
7	星期六 二月 01 13:44:02 CST 2014	840716	3	PS Scavenge	7	1.0	108	34.0	820417	35.0	242221056	266521920	3791650816	22399824
8	星期六 二月 01 13:44:58 CST 2014	2393032	1	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	29675744
8	星期六 二月 01 13:44:58 CST 2014	2349123	2	PS MarkSweep	0	0.0	0	0.0			244318208	266521920	3791650816	40112192
8	星期六 二月 01 13:44:58 CST 2014	896914	3	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	50361216
8	星期六 二月 01 13:44:58 CST 2014	2393032	1	PS Scavenge	11	1.0	106	1.0	2371391	1.0	237502464	266521920	3791650816	29675744
8	星期六 二月 01 13:44:58 CST 2014	2349132	2	PS Scavenge	12	1.0	127	5.0	2291336	6.0	244318208	266521920	3791650816	41194992
8	星期六 二月 01 13:44:58 CST 2014	896914	3	PS Scavenge	7	0.0	108	0.0	820417	35.0	242221056	266521920	3791650816	50361216
8	星期六 二月 01 13:45:02 CST 2014	900865	3	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	57923976
8	星期六 二月 01 13:45:02 CST 2014	900867	3	PS Scavenge	7	0.0	108	0.0	820417	35.0	242221056	266521920	3791650816	58296176
9	星期六 二月 01 13:45:58 CST 2014	2453297	1	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	65712560
9	星期六 二月 01 13:45:58 CST 2014	2409392	2	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	26031928
9	星期六 二月 01 13:45:58 CST 2014	957181	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	23746232
9	星期六 二月 01 13:45:58 CST 2014	2453297	1	PS Scavenge	11	0.0	106	0.0	2371391	1.0	237502464	266521920	3791650816	65712560
9	星期六 二月 01 13:45:58 CST 2014	2409398	2	PS Scavenge	13	1.0	132	5.0	2388537	4.0	235405312	266521920	3791650816	27022552
9	星期六 二月 01 13:45:58 CST 2014	957181	3	PS Scavenge	8	1.0	129	21.0	915733	21.0	249036800	266521920	3791650816	23746232
9	星期六 二月 01 13:46:02 CST 2014	961029	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	31224768
9	星期六 二月 01 13:46:02 CST 2014	961032	3	PS Scavenge	8	1.0	129	21.0	915733	21.0	249036800	266521920	3791650816	31641984
10	星期六 二月 01 13:46:59 CST 2014	2513542	1	PS MarkSweep	0	0.0	0	0.0			243793920	266521920	3791650816	42867736
10	星期六 二月 01 13:46:59 CST 2014	2469669	2	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	12250200
10	星期六 二月 01 13:46:59 CST 2014	1017427	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	59087056
10	星期六 二月 01 13:46:59 CST 2014	2513542	1	PS Scavenge	12	1.0	112	6.0	2456699	5.0	243793920	266521920	3791650816	42867736
10	星期六 二月 01 13:46:59 CST 2014	2469674	2	PS Scavenge	14	1.0	146	14.0	2469563	14.0	242221056	266521920	3791650816	13200360
10	星期六 二月 01 13:46:59 CST 2014	1017427	3	PS Scavenge	8	0.0	129	0.0	915733	21.0	249036800	266521920	3791650816	59087056
10	星期六 二月 01 13:47:02 CST 2014	1021212	3	PS MarkSweep	0	0.0	0	0.0			249036800	266521920	3791650816	66135544
10	星期六 二月 01 13:47:02 CST 2014	1021216	3	PS Scavenge	8	0.0	129	0.0	915733	21.0	249036800	266521920	3791650816	66552752
11	星期六 二月 01 13:47:59 CST 2014	2573808	1	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	21161688
11	星期六 二月 01 13:47:59 CST 2014	2529885	2	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	55145872
11	星期六 二月 01 13:47:59 CST 2014	1077693	3	PS MarkSweep	0	0.0	0	0.0			239599616	266521920	3791650816	33183288
11	星期六 二月 01 13:47:59 CST 2014	2573808	1	PS Scavenge	13	1.0	128	16.0	2565537	16.0	235405312	266521920	3791650816	21161688
11	星期六 二月 01 13:47:59 CST 2014	2529891	2	PS Scavenge	14	0.0	146	0.0	2469563	14.0	242221056	266521920	3791650816	56095936
11	星期六 二月 01 13:47:59 CST 2014	1077693	3	PS Scavenge	9	1.0	188	59.0	1021249	59.0	239599616	266521920	3791650816	33183288
11	星期六 二月 01 13:48:03 CST 2014	1081450	3	PS MarkSweep	0	0.0	0	0.0			239599616	266521920	3791650816	40319656
11	星期六 二月 01 13:48:03 CST 2014	1081452	3	PS Scavenge	9	1.0	188	59.0	1021249	59.0	239599616	266521920	3791650816	40741288
12	星期六 二月 01 13:48:59 CST 2014	2634026	1	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	56941488
12	星期六 二月 01 13:48:59 CST 2014	2590160	2	PS MarkSweep	0	0.0	0	0.0			233308160	266521920	3791650816	42785880
12	星期六 二月 01 13:48:59 CST 2014	1137912	3	PS MarkSweep	0	0.0	0	0.0			239599616	266521920	3791650816	68769984
12	星期六 二月 01 13:48:59 CST 2014	2634026	1	PS Scavenge	13	0.0	128	0.0	2565537	16.0	235405312	266521920	3791650816	56941488
12	星期六 二月 01 13:48:59 CST 2014	2590165	2	PS Scavenge	15	1.0	150	4.0	2529928	3.0	233308160	266521920	3791650816	44165096
12	星期六 二月 01 13:48:59 CST 2014	1137912	3	PS Scavenge	9	0.0	188	0.0	1021249	59.0	239599616	266521920	3791650816	68769984
12	星期六 二月 01 13:49:03 CST 2014	1141592	3	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	15324832
12	星期六 二月 01 13:49:03 CST 2014	1141595	3	PS Scavenge	10	1.0	214	26.0	1137926	26.0	247988224	266521920	3791650816	15710192
13	星期六 二月 01 13:49:59 CST 2014	2694286	1	PS MarkSweep	0	0.0	0	0.0			241696768	266521920	3791650816	38340528
13	星期六 二月 01 13:49:59 CST 2014	2650417	2	PS MarkSweep	0	0.0	0	0.0			239599616	266521920	3791650816	36180432
13	星期六 二月 01 13:49:59 CST 2014	1198178	3	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	45901392
13	星期六 二月 01 13:49:59 CST 2014	60683	4	PS MarkSweep	1	1	106	106	8703	106.0	255852544	266521920	3791650816	24280968
13	星期六 二月 01 13:49:59 CST 2014	2694286	1	PS Scavenge	14	1.0	152	24.0	2651168	25.0	241696768	266521920	3791650816	38340528
13	星期六 二月 01 13:49:59 CST 2014	2650471	2	PS Scavenge	16	1.0	152	2.0	2609061	2.0	239599616	266521920	3791650816	37921072
13	星期六 二月 01 13:49:59 CST 2014	1198178	3	PS Scavenge	10	1.0	214	26.0	1137926	26.0	247988224	266521920	3791650816	45901392
13	星期六 二月 01 13:49:59 CST 2014	60683	4	PS Scavenge	1	1	19	19	8683	20.0	255852544	266521920	3791650816	24280968
13	星期六 二月 01 13:50:03 CST 2014	1201772	3	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	53410488
13	星期六 二月 01 13:50:03 CST 2014	1201787	3	PS Scavenge	10	0.0	214	0.0	1137926	26.0	247988224	266521920	3791650816	53795832
14	星期六 二月 01 13:51:00 CST 2014	2754612	1	PS MarkSweep	0	0.0	0	0.0			233308160	266521920	3791650816	18176672
14	星期六 二月 01 13:51:00 CST 2014	2710734	2	PS MarkSweep	0	0.0	0	0.0			231211008	266521920	3791650816	29245144
14	星期六 二月 01 13:51:00 CST 2014	1258498	3	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	22584464
14	星期六 二月 01 13:51:00 CST 2014	120868	4	PS MarkSweep	1	0.0	106	0.0	8703	106.0	255852544	266521920	3791650816	24282312
14	星期六 二月 01 13:51:00 CST 2014	2754612	1	PS Scavenge	15	1.0	171	19.0	2746062	19.0	233308160	266521920	3791650816	18176672
14	星期六 二月 01 13:51:00 CST 2014	2710741	2	PS Scavenge	17	1.0	154	2.0	2688441	2.0	231211008	266521920	3791650816	30164040
14	星期六 二月 01 13:51:00 CST 2014	1258498	3	PS Scavenge	11	1.0	217	3.0	1220076	2.0	237502464	266521920	3791650816	22584464
14	星期六 二月 01 13:51:00 CST 2014	120868	4	PS Scavenge	1	0.0	19	0.0	8683	20.0	255852544	266521920	3791650816	24282312
14	星期六 二月 01 13:51:03 CST 2014	1261895	3	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	29708504
14	星期六 二月 01 13:51:03 CST 2014	1261897	3	PS Scavenge	11	1.0	217	3.0	1220076	2.0	237502464	266521920	3791650816	30132128
15	星期六 二月 01 13:52:00 CST 2014	2814867	1	PS MarkSweep	0	0.0	0	0.0			233308160	266521920	3791650816	54238568
15	星期六 二月 01 13:52:00 CST 2014	2770967	2	PS MarkSweep	0	0.0	0	0.0			236978176	266521920	3791650816	22984456
15	星期六 二月 01 13:52:00 CST 2014	1318751	3	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	57977848
15	星期六 二月 01 13:52:00 CST 2014	181121	4	PS MarkSweep	1	0.0	106	0.0	8703	106.0	255852544	266521920	3791650816	24283656
15	星期六 二月 01 13:52:00 CST 2014	2814867	1	PS Scavenge	15	0.0	171	0.0	2746062	19.0	233308160	266521920	3791650816	54238568
15	星期六 二月 01 13:52:00 CST 2014	2770974	2	PS Scavenge	18	1.0	156	2.0	2766031	2.0	236978176	266521920	3791650816	23878632
15	星期六 二月 01 13:52:00 CST 2014	1318751	3	PS Scavenge	11	0.0	217	0.0	1220076	2.0	237502464	266521920	3791650816	57977848
15	星期六 二月 01 13:52:00 CST 2014	181121	4	PS Scavenge	1	0.0	19	0.0	8683	20.0	255852544	266521920	3791650816	24283656
15	星期六 二月 01 13:52:03 CST 2014	1321997	3	PS MarkSweep	0	0.0	0	0.0			237502464	266521920	3791650816	65411544
15	星期六 二月 01 13:52:03 CST 2014	1321998	3	PS Scavenge	11	0.0	217	0.0	1220076	2.0	237502464	266521920	3791650816	65411544
16	星期六 二月 01 13:53:00 CST 2014	2875078	1	PS MarkSweep	0	0.0	0	0.0			238551040	266521920	3791650816	35736984
16	星期六 二月 01 13:53:00 CST 2014	2831172	2	PS MarkSweep	0	0.0	0	0.0			229113856	266521920	3791650816	17148296
16	星期六 二月 01 13:53:00 CST 2014	1378960	3	PS MarkSweep	0	0.0	0	0.0			245366784	266521920	3791650816	35186928
16	星期六 二月 01 13:53:00 CST 2014	241327	4	PS MarkSweep	1	0.0	106	0.0	8703	106.0	255852544	266521920	3791650816	24984608
16	星期六 二月 01 13:53:00 CST 2014	2875078	1	PS Scavenge	16	1.0	173	2.0	2837863	2.0	238551040	266521920	3791650816	35736984
16	星期六 二月 01 13:53:00 CST 2014	2831179	2	PS Scavenge	19	1.0	161	5.0	2831057	5.0	229113856	266521920	3791650816	18517488
16	星期六 二月 01 13:53:00 CST 2014	1378960	3	PS Scavenge	12	1.0	224	7.0	1321990	7.0	245366784	266521920	3791650816	35186928
16	星期六 二月 01 13:53:00 CST 2014	241327	4	PS Scavenge	1	0.0	19	0.0	8683	20.0	255852544	266521920	3791650816	24984608
16	星期六 二月 01 13:53:03 CST 2014	1382143	3	PS MarkSweep	0	0.0	0	0.0			245366784	266521920	3791650816	41824552
16	星期六 二月 01 13:53:03 CST 2014	1382146	3	PS Scavenge	12	1.0	224	7.0	1321990	7.0	245366784	266521920	3791650816	42234792
17	星期六 二月 01 13:54:03 CST 2014	1442302	3	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	21921880
17	星期六 二月 01 13:54:03 CST 2014	1442304	3	PS Scavenge	13	1.0	226	2.0	1420911	2.0	235405312	266521920	3791650816	21921880
18	星期六 二月 01 13:55:03 CST 2014	1502419	3	PS MarkSweep	0	0.0	0	0.0			235405312	266521920	3791650816	58610048
18	星期六 二月 01 13:55:03 CST 2014	1502421	3	PS Scavenge	13	0.0	226	0.0	1420911	2.0	235405312	266521920	3791650816	58626776
19	星期六 二月 01 13:56:04 CST 2014	1562547	3	PS MarkSweep	0	0.0	0	0.0			242221056	266521920	3791650816	38092376
19	星期六 二月 01 13:56:04 CST 2014	1562549	3	PS Scavenge	14	1.0	231	5.0	1502454	5.0	242221056	266521920	3791650816	38511256
20	星期六 二月 01 13:57:04 CST 2014	1622645	3	PS MarkSweep	0	0.0	0	0.0			232783872	266521920	3791650816	17962536
20	星期六 二月 01 13:57:04 CST 2014	1622646	3	PS Scavenge	15	1.0	232	1.0	1613741	2.0	232783872	266521920	3791650816	17962536
21	星期六 二月 01 13:58:04 CST 2014	1682769	3	PS MarkSweep	0	0.0	0	0.0			232783872	266521920	3791650816	52677928
21	星期六 二月 01 13:58:04 CST 2014	1682772	3	PS Scavenge	15	0.0	232	0.0	1613741	2.0	232783872	266521920	3791650816	53064824
22	星期六 二月 01 13:59:04 CST 2014	1742880	3	PS MarkSweep	0	0.0	0	0.0			239599616	266521920	3791650816	33496264
22	星期六 二月 01 13:59:04 CST 2014	1742881	3	PS Scavenge	16	1.0	234	2.0	1690903	2.0	239599616	266521920	3791650816	33906800
