Batch Counter	Report Time	JVM Uptime	Node Id	GC Name	CollectionCount	Delta Collection Count	CollectionTime	Delta Collection Time	Last GC Start Time	Last GC Duration Millis	Heap Committed	Heap Init	Heap Max	Heap Used
1	星期六 二月 01 13:37:56 CST 2014	1970934	1	PS MarkSweep	0	0	0	0			241696768	266521920	3791650816	19416856
1	星期六 二月 01 13:37:56 CST 2014	1927039	2	PS MarkSweep	0	0	0	0			241696768	266521920	3791650816	34597368
1	星期六 二月 01 13:37:56 CST 2014	474938	3	PS MarkSweep	0	0	0	0			255852544	266521920	3791650816	51733104
1	星期六 二月 01 13:37:56 CST 2014	1970934	1	PS Scavenge	7	7	81	81	1963566	19.0	241696768	266521920	3791650816	19416856
1	星期六 二月 01 13:37:56 CST 2014	1927105	2	PS Scavenge	7	7	103	103	1889335	8.0	241696768	266521920	3791650816	35872064
1	星期六 二月 01 13:37:56 CST 2014	474938	3	PS Scavenge	3	3	39	39	364259	9.0	255852544	266521920	3791650816	51733104
1	星期六 二月 01 13:38:00 CST 2014	479330	3	PS MarkSweep	0	0	0	0			255852544	266521920	3791650816	61553560
1	星期六 二月 01 13:38:00 CST 2014	479339	3	PS Scavenge	3	3	39	39	364259	9.0	255852544	266521920	3791650816	62001344
2	星期六 二月 01 13:38:56 CST 2014	2031412	1	PS MarkSweep	0	0.0	0	0.0			241696768	266521920	3791650816	57532704
2	星期六 二月 01 13:38:56 CST 2014	1987526	2	PS MarkSweep	0	0.0	0	0.0			248512512	266521920	3791650816	20985712
2	星期六 二月 01 13:38:56 CST 2014	535294	3	PS MarkSweep	0	0.0	0	0.0			255852544	266521920	3791650816	27062960
2	星期六 二月 01 13:38:56 CST 2014	2031412	1	PS Scavenge	7	0.0	81	0.0	1963566	19.0	241696768	266521920	3791650816	57532704
2	星期六 二月 01 13:38:56 CST 2014	1987536	2	PS Scavenge	8	1.0	106	3.0	1983123	3.0	248512512	266521920	3791650816	21794320
2	星期六 二月 01 13:38:56 CST 2014	535294	3	PS Scavenge	4	1.0	49	10.0	488337	10.0	255852544	266521920	3791650816	27062960
2	星期六 二月 01 13:39:01 CST 2014	539607	3	PS MarkSweep	0	0.0	0	0.0			255852544	266521920	3791650816	35123600
2	星期六 二月 01 13:39:01 CST 2014	539610	3	PS Scavenge	4	1.0	49	10.0	488337	10.0	255852544	266521920	3791650816	35330560
3	星期六 二月 01 13:39:57 CST 2014	2091722	1	PS MarkSweep	0	0.0	0	0.0			247988224	266521920	3791650816	31785296
3	星期六 二月 01 13:39:57 CST 2014	2047835	2	PS MarkSweep	0	0.0	0	0.0			248512512	266521920	3791650816	66184384
3	星期六 二月 01 13:39:57 CST 2014	595608	3	PS MarkSweep	0	0.0	0	0.0			255852544	266521920	3791650816	64622712
3	星期六 二月 01 13:39:57 CST 2014	2091722	1	PS Scavenge	8	1.0	85	4.0	2067395	4.0	247988224	266521920	3791650816	31785296
3	星期六 二月 01 13:39:57 CST 2014	2047844	2	PS Scavenge	8	0.0	106	0.0	1983123	3.0	248512512	266521920	3791650816	66992576
